winner,blue_wins,red_wins,Draw
Red,1,1,
Red,2,4,
Red,0,4,
Blue,0,0,
Blue,4,5,
Blue,4,7,
Blue,4,4,
Red,8,12,
Red,0,3,
Blue,3,0,
Blue,4,6,
Draw,9,10,
Red,0,1,
Draw,5,5,
Red,3,7,
Blue,3,4,
Red,4,6,
Red,0,4,
Blue,4,5,
Red,1,1,
Red,0,11,
Blue,0,0,
Red,5,5,
Blue,2,5,
Blue,11,7,
Red,9,10,
Blue,5,13,
Blue,2,15,
Red,3,13,
Red,9,7,
Red,2,5,
Blue,2,3,
Blue,4,2,
Red,0,0,
Red,0,1,
Red,10,3,
Blue,0,2,
Blue,4,5,
Draw,2,4,
Blue,0,0,
Blue,3,4,
Red,7,8,
Red,0,12,
Red,3,6,
Blue,5,8,
Red,1,1,
Blue,2,8,
Blue,1,4,
Red,1,1,
Blue,15,9,
Blue,0,6,
Blue,2,19,
Red,1,4,
Blue,3,5,
Red,0,1,
Red,0,2,
Blue,2,1,
Blue,0,2,
Blue,4,3,
Red,4,8,
Blue,1,1,
Red,12,12,
Red,6,5,
Red,3,10,
Red,1,2,
Blue,1,2,
Red,0,0,
Blue,3,4,
Red,0,6,
Red,1,2,
Red,1,2,
Blue,15,11,
Blue,6,12,
Blue,13,8,
Red,18,6,
Blue,1,2,
Red,0,0,
Red,3,1,
Blue,0,3,
Red,0,0,
Blue,0,10,
Blue,2,5,
Red,6,5,
Blue,6,5,
Red,10,18,
Red,7,12,
Red,2,2,
Red,4,2,
Red,0,1,
Blue,0,4,
Blue,3,14,
Red,5,8,
Red,1,7,
Red,2,4,
Blue,3,4,
Red,0,0,
Red,17,10,
Red,4,1,
Red,0,2,
Red,0,0,
Red,2,1,
Blue,0,1,
Red,1,1,
Red,1,1,
Red,15,8,
Blue,4,1,
Blue,3,2,
Blue,9,9,
Red,6,17,
Blue,0,3,
Blue,0,0,
Blue,7,5,
Blue,2,4,
Red,0,1,
Red,5,10,
Red,10,10,
Red,7,10,
Red,4,7,
Red,2,2,
Blue,1,6,
Red,0,0,
Red,0,0,
Red,0,3,
Blue,2,6,
Red,9,7,
Red,2,4,
Blue,17,15,
Draw,6,9,
Blue,3,15,
Red,3,3,
Red,4,11,
Red,0,7,
Red,0,1,
Red,1,5,
Red,0,1,
Red,1,1,
Red,5,7,
Blue,3,7,
Blue,1,13,
Blue,0,10,
Blue,5,8,
Blue,0,3,
Red,1,0,
Red,2,2,
Blue,0,0,
Red,6,8,
Blue,0,1,
Blue,0,0,
Blue,1,3,
Red,1,1,
Red,0,1,
Red,2,5,
Red,1,1,
Red,6,7,
Red,2,2,
Red,3,8,
